holiday_date,holiday_name,jurisdiction,closure_type,is_early_close,declared_at,declared_by,source_reference
2025-01-01,New Year's Day,US,full_closure,false,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2025-01-09,National Day of Mourning - President Carter,US,full_closure,false,2024-12-30,calendar_governance,EO-14889
2025-01-20,Martin Luther King Jr. Day,US,full_closure,false,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2025-02-17,Washington's Birthday,US,full_closure,false,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2025-04-18,Good Friday,US,full_closure,false,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2025-05-26,Memorial Day,US,full_closure,false,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2025-06-19,Juneteenth National Independence Day,US,full_closure,false,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2025-07-03,Independence Day - early close,US,early_close,true,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2025-07-04,Independence Day,US,full_closure,false,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2025-09-01,Labor Day,US,full_closure,false,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2025-11-27,Thanksgiving Day,US,full_closure,false,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2025-11-28,Day after Thanksgiving - early close,US,early_close,true,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2025-12-24,Christmas Eve - early close,US,early_close,true,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2025-12-25,Christmas Day,US,full_closure,false,2024-06-01,calendar_governance,SIFMA-2025-SCHEDULE
2026-01-01,New Year's Day,US,full_closure,false,2025-06-02,calendar_governance,SIFMA-2026-SCHEDULE
2026-01-19,Martin Luther King Jr. Day,US,full_closure,false,2025-06-02,calendar_governance,SIFMA-2026-SCHEDULE
2026-02-16,Washington's Birthday,US,full_closure,false,2025-06-02,calendar_governance,SIFMA-2026-SCHEDULE
2026-04-03,Good Friday,US,full_closure,false,2025-06-02,calendar_governance,SIFMA-2026-SCHEDULE
2026-05-25,Memorial Day,US,full_closure,false,2025-06-02,calendar_governance,SIFMA-2026-SCHEDULE
2026-06-19,Juneteenth National Independence Day,US,full_closure,false,2025-06-02,calendar_governance,SIFMA-2026-SCHEDULE
2026-07-03,Independence Day - observed,US,full_closure,false,2025-06-02,calendar_governance,SIFMA-2026-SCHEDULE
2026-09-07,Labor Day,US,full_closure,false,2025-06-02,calendar_governance,SIFMA-2026-SCHEDULE
2026-11-26,Thanksgiving Day,US,full_closure,false,2025-06-02,calendar_governance,SIFMA-2026-SCHEDULE
2026-11-27,Day after Thanksgiving - early close,US,early_close,true,2025-06-02,calendar_governance,SIFMA-2026-SCHEDULE
2026-12-24,Christmas Eve - early close,US,early_close,true,2025-06-02,calendar_governance,SIFMA-2026-SCHEDULE
2026-12-25,Christmas Day,US,full_closure,false,2025-06-02,calendar_governance,SIFMA-2026-SCHEDULE
2027-01-01,New Year's Day,US,full_closure,false,2026-06-01,calendar_governance,SIFMA-2027-SCHEDULE
2027-01-18,Martin Luther King Jr. Day,US,full_closure,false,2026-06-01,calendar_governance,SIFMA-2027-SCHEDULE
